A-B
Profile
Horizontal Position[um]	Height[nm]
7.750	202.942
7.769	201.287
7.789	199.632
7.808	197.977
7.828	196.322
7.847	194.667
7.867	193.012
7.886	191.356
7.906	193.623
7.926	193.671
7.945	193.719
7.965	193.767
7.984	193.815
8.004	193.863
8.023	193.911
8.043	195.046
8.063	196.181
8.082	197.316
8.102	198.451
8.121	197.580
8.141	196.710
8.160	195.840
8.180	196.156
8.200	196.473
8.219	196.789
8.239	197.105
8.258	197.421
8.278	197.738
8.297	198.054
8.317	198.370
8.337	198.840
8.356	199.310
8.376	199.779
8.395	200.249
8.415	200.719
8.434	201.189
8.454	201.658
8.474	202.483
8.493	203.309
8.513	204.134
8.532	204.959
8.552	206.413
8.571	207.867
8.591	209.321
8.611	208.673
8.630	208.026
8.650	207.378
8.669	206.730
8.689	206.082
8.708	205.434
8.728	204.786
8.748	204.139
8.767	204.545
8.787	204.952
8.806	205.359
8.826	205.765
8.845	206.172
8.865	206.578
8.885	206.985
8.904	206.632
8.924	206.278
8.943	205.925
8.963	205.571
8.982	203.465
9.002	201.358
9.022	199.252
9.041	200.135
9.061	201.018
9.080	201.901
9.100	202.784
9.119	203.667
9.139	204.551
9.159	205.433
9.178	206.316
9.198	206.405
9.217	206.493
9.237	206.582
9.256	206.670
9.276	206.758
9.295	206.847
9.315	206.935
9.335	205.029
9.354	203.123
9.374	201.217
9.393	199.311
9.413	200.210
9.432	201.110
9.452	202.009
9.472	201.887
9.491	201.766
9.511	201.644
9.530	201.523
9.550	201.401
9.569	201.280
9.589	201.158
9.609	201.037
9.628	200.655
9.648	200.274
9.667	199.893
9.687	199.512
9.706	199.131
9.726	198.749
9.746	198.368
9.765	199.165
9.785	199.962
9.804	200.760
9.824	201.557
9.843	202.973
9.863	204.389
9.883	205.805
9.902	205.805
9.922	205.805
9.941	205.805
9.961	205.805
9.980	205.805
10.000	205.805
