G-H
Profile
Horizontal Position[um]	Height[nm]
7.750	186.476
7.769	187.512
7.789	188.081
7.808	188.650
7.828	189.219
7.847	189.789
7.867	190.875
7.886	191.960
7.906	193.046
7.926	193.762
7.945	194.477
7.965	195.193
7.984	195.908
8.004	196.623
8.023	197.339
8.043	198.054
8.063	198.770
8.082	199.273
8.102	199.775
8.121	200.279
8.141	200.781
8.160	201.284
8.180	201.787
8.200	202.290
8.219	203.444
8.239	204.598
8.258	205.752
8.278	206.906
8.297	207.506
8.317	208.107
8.337	208.707
8.356	207.387
8.376	206.067
8.395	204.746
8.415	203.426
8.434	202.106
8.454	200.786
8.474	199.465
8.493	197.160
8.513	194.856
8.532	195.423
8.552	195.990
8.571	196.557
8.591	197.124
8.611	197.691
8.630	197.967
8.650	198.244
8.669	198.521
8.689	198.797
8.708	199.074
8.728	199.351
8.748	197.452
8.767	195.554
8.787	196.289
8.806	197.023
8.826	197.758
8.845	198.493
8.865	199.227
8.885	199.962
8.904	200.696
8.924	201.661
8.943	202.625
8.963	202.710
8.982	202.796
9.002	202.881
9.022	202.966
9.041	203.051
9.061	201.738
9.080	200.425
9.100	199.112
9.119	197.799
9.139	196.487
9.159	195.174
9.178	198.542
9.198	199.253
9.217	199.965
9.237	200.676
9.256	201.387
9.276	202.098
9.295	202.809
9.315	203.521
9.335	204.951
9.354	206.382
9.374	207.812
9.393	206.227
9.413	204.642
9.432	203.057
9.452	201.472
9.472	199.887
9.491	199.816
9.511	199.745
9.530	199.675
9.550	199.604
9.569	199.533
9.589	199.462
9.609	201.041
9.628	201.380
9.648	201.720
9.667	202.059
9.687	202.398
9.706	202.737
9.726	203.076
9.746	203.416
9.765	202.030
9.785	200.645
9.804	199.260
9.824	199.845
9.843	200.430
9.863	201.015
9.883	201.600
9.902	201.600
9.922	201.600
9.941	201.600
9.961	201.600
9.980	201.600
10.000	201.600
