E-F
Profile
Horizontal Position[um]	Height[nm]
7.750	190.958
7.769	189.033
7.789	190.689
7.808	192.344
7.828	194.000
7.847	195.656
7.867	196.866
7.886	198.077
7.906	199.288
7.926	199.552
7.945	199.815
7.965	200.079
7.984	200.342
8.004	200.606
8.023	200.870
8.043	201.133
8.063	201.397
8.082	201.449
8.102	201.501
8.121	201.554
8.141	201.606
8.160	201.658
8.180	201.710
8.200	201.762
8.219	202.850
8.239	203.937
8.258	205.024
8.278	206.112
8.297	206.439
8.317	206.766
8.337	207.094
8.356	206.495
8.376	205.896
8.395	205.297
8.415	204.699
8.434	204.100
8.454	203.501
8.474	202.902
8.493	205.469
8.513	208.036
8.532	208.339
8.552	208.642
8.571	208.946
8.591	209.249
8.611	209.552
8.630	208.741
8.650	207.929
8.669	207.118
8.689	206.306
8.708	205.495
8.728	204.684
8.748	205.953
8.767	207.223
8.787	207.558
8.806	207.893
8.826	208.228
8.845	208.564
8.865	208.899
8.885	209.234
8.904	209.569
8.924	210.447
8.943	211.324
8.963	209.843
8.982	208.363
9.002	206.882
9.022	205.401
9.041	203.921
9.061	204.751
9.080	205.582
9.100	206.412
9.119	207.243
9.139	208.073
9.159	208.904
9.178	211.605
9.198	211.763
9.217	211.921
9.237	212.079
9.256	212.237
9.276	212.395
9.295	212.554
9.315	212.712
9.335	210.507
9.354	208.302
9.374	206.097
9.393	206.393
9.413	206.690
9.432	206.985
9.452	207.282
9.472	207.578
9.491	207.793
9.511	208.008
9.530	208.223
9.550	208.438
9.569	208.653
9.589	208.868
9.609	204.826
9.628	205.083
9.648	205.339
9.667	205.596
9.687	205.852
9.706	206.109
9.726	206.365
9.746	206.622
9.765	208.185
9.785	209.749
9.804	211.312
9.824	211.511
9.843	211.710
9.863	211.909
9.883	212.108
9.902	212.108
9.922	212.108
9.941	212.108
9.961	212.108
9.980	212.108
10.000	212.108
